[2026-04-12 04:32:44] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1947 | PulsemV=1643 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.94 GY=5.17 GZ=-0.09 | Temp=32.20 | Frame=304
[2026-04-12 04:32:45] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1951 | PulsemV=1646 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.16 GY=5.31 GZ=-0.11 | Temp=32.19 | Frame=305
[2026-04-12 04:32:45] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1949 | PulsemV=1644 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.09 GY=5.42 GZ=-0.12 | Temp=32.21 | Frame=306
[2026-04-12 04:32:46] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.96 GY=5.27 GZ=-0.20 | Temp=32.21 | Frame=307
[2026-04-12 04:32:46] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.84 GY=5.32 GZ=-0.12 | Temp=32.21 | Frame=308
[2026-04-12 04:32:47] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1960 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.88 GY=5.20 GZ=-0.02 | Temp=32.22 | Frame=309
[2026-04-12 04:32:47] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1960 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.15 GY=5.31 GZ=-0.16 | Temp=32.18 | Frame=310
[2026-04-12 04:32:48] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1965 | PulsemV=1657 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.08 GY=5.32 GZ=-0.07 | Temp=32.21 | Frame=311
[2026-04-12 04:32:48] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.79 GY=5.24 GZ=-0.27 | Temp=32.23 | Frame=312
[2026-04-12 04:32:49] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.13 GY=5.36 GZ=-0.10 | Temp=32.22 | Frame=313
[2026-04-12 04:32:49] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1949 | PulsemV=1644 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.94 GY=5.30 GZ=-0.38 | Temp=32.25 | Frame=314
